id,name,type,planet,country,launch_date,arrival_date,end_date,lat,lon,mission,mass,fate,reason
Jupiter0,Galileo probe,Atmospheric probe,Jupiter,U.S.,Oct 18 1989,Dec 7 1995,Dec 7 1995,6.08,-4.06," Measured the temperature, pressure,
and  composition of Jupiter's atmosphere.",339 kg,Success,Released from Galileo orbiter in July 1995. Entered Jupiter's atmosphere 5 months later. Stopped functioning 58 minutes after entry.
Jupiter1,Galileo orbiter,Orbiter,Jupiter,U.S.,Oct 18 1989,Dec 8 1995,Sep 21 2003,500,0,Observed Jupiter's moons. Found evidence of an ocean under Europa's icy surface.,2223 kg,Success,Sent plunging into Jupiter to eliminate chance of contact with Europa.
Mars12,Mars 2 lander,Lander,Mars,U.S.S.R.,May 19 1971,Nov 27 1971,Nov 27 1971,-45,47,"Set to image the martian surface, take weather measurements, and search for signs of life.",358 kg,Failure,"First humanmade object to make contact with Mars. The parachute never deployed, and the lander crashed onto the planet's surface, sending no information back to Earth."
Mars1,Mars 3 lander,Lander,Mars,U.S.S.R.,May 28 1971,Dec 2 1971,Dec 2 1971,-45,-158,First probe to land and send images from Mars. The images and data revealed mountains as high as 22 kilometers and surface temperatures  from -110&#8451 to 13&#8451.,358 kg,Partial success,"Stopped transmitting images after 20 seconds, probably due to a violent dust storm."
Mars10,Mars Polar Lander,Lander,Mars,U.S.,Jan 3 1999,Dec 3 1999,Dec 3 1999,-76,-195,Set to search for near-surface ice. Equipped with a 2-meter-long robotic arm to dig into the soil.,290 kg,Failure,"Contact lost prior to landing, likely due to a software error that caused early shutdown of the descent engines."
Mars11,Deep Space 2,Lander,Mars,U.S.,Jan 3 1999,Dec 3 1999,Dec 3 1999,-73,-210,"Separating from the Mars Polar Lander, twin impactors would have penetrated the soil to look for subsurface ice.",3.6 kg (each),Failure,"Both probes reached Mars without incident, but communication was never established after landing."
Mars0,Beagle 2,Lander,Mars,U.K.,Jun 2 2003,Dec 25 2003,Dec 25 2003,11.527,90.43,"Set to analyze the surface, collect climate data, and search for signs of life.",33 kg,Failure,Declared lost after communications could not be established post-landing.
Mars13,Spirit,Rover,Mars,U.S.,Jun 10 2003,Jan 4 2004,May 25 2011,-14.572,175.479,"Found rocks rich in carbonates, which are minerals that form in the presence of water and carbon.",185 kg,Success,"In 2009, got trapped in soft sand and could not reorient solar panels to produce enough energy to survive martian winter. Transmitted for the last time in March 2010."
Mars14,Phoenix,Lander,Mars,U.S.,Aug 4 2007,May 25 2008,Nov 2 2008,68.15,-125.9,"Used robotic arm to dig through soil, and found buried ice. ",350 kg,Success,Transmissions ended when winter set in and solar panels could not generate enough energy.
Mars15,Schiaparelli lander,Lander,Mars,Europe,Mar 14 2016,Oct 19 2016,Oct 19 2016,-2.07,-6.21,Set to test landing technology and characterize atmospheric dust.,577 kg,Failure,"The parachute and back shell were prematurely released. Braking thrusters switched off too early, leading to a fatal crash."
